id,city,neighborhood,property_name,property_type,bedrooms,bathrooms,area_sqft,rent_per_month,furnishing,floor,total_floors,parking,amenities,listing_url,source,contact,description,verified
11,Delhi,Hauz Khas,HK Village 2BHK,Apartment,2,2,1000,55000,Fully Furnished,3,5,No,"Security,Power Backup",https://www.magicbricks.com/property-for-rent/residential-apartments/hauz-khas-new-delhi/prdet661023,MagicBricks,+91-9810012345,Steps from Hauz Khas Village market and fort. Walking to IIT Delhi green belt.,Yes
12,Delhi,Hauz Khas,Modern Studio near Deer Park,Studio,1,1,400,30000,Fully Furnished,1,4,No,"Security,Power Backup",https://www.nobroker.in/property/rent/studio-hauz-khas-delhi,NoBroker,+91-9810023456,Compact studio perfect for working professional. Near Green Park Metro station.,Yes
13,Delhi,Dwarka,Sector 10 3BHK DDA Flat,Apartment,3,2,1200,38000,Semi-Furnished,5,14,Yes,"Gym,Security,Power Backup,Park",https://www.99acres.com/residential-property-for-rent-in-dwarka-sector-10-delhi,99acres,+91-9810034567,Spacious DDA flat in well-planned sector. Near Blue Line Metro and malls.,Yes
14,Delhi,Dwarka,1BHK Sector 6 Affordable,Apartment,1,1,550,15000,Unfurnished,2,6,No,"Security,Lift",https://www.magicbricks.com/property-for-rent/residential-apartments/dwarka-sector-6-delhi/prdet771044,MagicBricks,+91-9810045678,Budget-friendly 1BHK near Dwarka Sector 6 Metro. Great for students and young professionals.,Yes
15,Delhi,Saket,Select Citywalk Area 2BHK,Apartment,2,2,1100,50000,Fully Furnished,7,12,Yes,"Gym,Security,Power Backup,Concierge",https://www.nobroker.in/property/rent/2bhk-saket-south-delhi,NoBroker,+91-9811012345,Premium 2BHK walking distance to Select Citywalk Mall and Saket Metro.,Yes
16,Delhi,Greater Kailash,GK1 M-Block 3BHK,Independent Floor,3,3,1800,95000,Semi-Furnished,2,3,Yes,"Garden,Security,Power Backup",https://www.magicbricks.com/property-for-rent/residential-apartments/greater-kailash-1-delhi/prdet881062,MagicBricks,+91-9811023456,Beautiful independent floor in GK-1 with private garden. Near M-Block market.,Yes
17,Delhi,Vasant Kunj,DLF Area 2BHK,Apartment,2,2,1100,44000,Semi-Furnished,6,10,Yes,"Gym,Pool,Security,Club House",https://www.99acres.com/property-for-rent-in-vasant-kunj-delhi,99acres,+91-9811034567,Gated complex near DLF Promenade Mall. Green zone with parks nearby.,Yes
18,Delhi,Rohini,Sector 8 2BHK Affordable,Apartment,2,2,900,24000,Semi-Furnished,3,7,Yes,"Security,Power Backup,Lift",https://www.magicbricks.com/property-for-rent/residential-apartments/rohini-sector-8-delhi/prdet991073,MagicBricks,+91-9811045678,Value-for-money 2BHK in planned sector. Near Rithala Metro and shopping complex.,Yes
19,Bangalore,Koramangala,5th Block 2BHK,Apartment,2,2,1050,50000,Fully Furnished,4,8,No,"Gym,Security,Power Backup",https://www.magicbricks.com/property-for-rent/residential-apartments/koramangala-5th-block-bangalore/prdet101023,MagicBricks,+91-9880012345,Premium 2BHK in startup hub. Walking to Forum Mall and multiple restaurants.,Yes
20,Bangalore,Koramangala,1BHK Startup Zone,Apartment,1,1,550,28000,Semi-Furnished,2,5,No,"Security,Power Backup",https://www.nobroker.in/property/rent/1bhk-koramangala-bangalore,NoBroker,+91-9880023456,Perfect for startup employees. Near Koramangala 8th Block food street.,Yes
21,Bangalore,Koramangala,3BHK Premium 7th Block,Apartment,3,3,1700,85000,Fully Furnished,9,12,Yes,"Gym,Pool,Security,Club House,Power Backup",https://www.99acres.com/residential-property-for-rent-in-koramangala-7th-block-bangalore,99acres,+91-9880034567,Luxury 3BHK with all amenities. Near Wipro office and Koramangala social.,Yes
22,Bangalore,Indiranagar,100 Feet Road 2BHK,Apartment,2,2,1000,52000,Fully Furnished,5,9,No,"Gym,Security,Power Backup",https://www.magicbricks.com/property-for-rent/residential-apartments/indiranagar-bangalore/prdet211044,MagicBricks,+91-9880045678,Vibrant location on 100 Feet Road. Walking to CMH Road restaurants and bars.,Yes
23,Bangalore,Whitefield,ITPL Proximity 2BHK,Apartment,2,2,1150,36000,Semi-Furnished,6,14,Yes,"Gym,Pool,Security,Children Play Area",https://www.nobroker.in/property/rent/2bhk-whitefield-itpl-bangalore,NoBroker,+91-9880056789,5 min drive to ITPL Tech Park. Gated community with all amenities.,Yes
24,Bangalore,HSR Layout,Sector 4 Independent House,Independent House,3,3,2000,65000,Semi-Furnished,1,1,Yes,"Garden,Security,Power Backup",https://www.magicbricks.com/property-for-rent/residential-apartments/hsr-layout-bangalore/prdet321055,MagicBricks,+91-9880067890,Spacious independent house in prime HSR. Quiet neighborhood with good connectivity.,Yes
25,Bangalore,Electronic City,Phase 1 1BHK IT Housing,Apartment,1,1,520,14000,Semi-Furnished,3,7,Yes,"Security,Power Backup,Lift",https://www.nobroker.in/property/rent/1bhk-electronic-city-phase1-bangalore,NoBroker,+91-9880078901,Budget 1BHK for IT professionals. 5 min to Infosys and Wipro campuses.,Yes
26,Bangalore,Bellandur,ORR 2BHK Gated,Apartment,2,2,1050,32000,Semi-Furnished,7,12,Yes,"Gym,Security,Power Backup,Club House",https://www.99acres.com/residential-property-for-rent-in-bellandur-bangalore,99acres,+91-9880089012,Well-connected on Outer Ring Road. Near Bellandur Lake and multiple IT offices.,Yes
27,Bangalore,Marathahalli,Brigade Road 2BHK,Apartment,2,2,1000,29000,Semi-Furnished,4,8,Yes,"Gym,Security,Power Backup",https://www.magicbricks.com/property-for-rent/residential-apartments/marathahalli-bangalore/prdet431066,MagicBricks,+91-9880090123,Affordable 2BHK near Marathahalli Bridge. Easy access to ORR and airport road.,Yes
28,Hyderabad,Gachibowli,DLF Cyber City Area 2BHK,Apartment,2,2,1100,37000,Semi-Furnished,8,16,Yes,"Gym,Pool,Security,Power Backup",https://www.magicbricks.com/property-for-rent/residential-apartments/gachibowli-hyderabad/prdet541077,MagicBricks,+91-9849012345,Close to DLF Cyber City and Microsoft campus. Lush green gated society.,Yes
29,Hyderabad,Banjara Hills,Road 12 Premium 3BHK,Apartment,3,3,1700,60000,Fully Furnished,6,10,Yes,"Gym,Pool,Security,Club House,Concierge",https://www.nobroker.in/property/rent/3bhk-banjara-hills-road12-hyderabad,NoBroker,+91-9849023456,Luxury 3BHK in most coveted road of Banjara Hills. Fine dining and embassies nearby.,Yes
30,Hyderabad,Jubilee Hills,Road 36 3BHK,Apartment,3,3,1800,68000,Fully Furnished,4,8,Yes,"Gym,Pool,Security,Generator,Concierge",https://www.99acres.com/residential-property-for-rent-in-jubilee-hills-hyderabad,99acres,+91-9849034567,Premium area preferred by film stars and industrialists. Very safe gated society.,Yes
31,Hyderabad,Madhapur,HITEC City 2BHK,Apartment,2,2,1050,38000,Semi-Furnished,7,14,Yes,"Gym,Security,Power Backup,Club House",https://www.magicbricks.com/property-for-rent/residential-apartments/madhapur-hyderabad/prdet651088,MagicBricks,+91-9849045678,IT employees preferred. 5 min to HITEC City. Near Inorbit Mall Hyderabad.,Yes
32,Hyderabad,Kondapur,Affordable 2BHK IT Corridor,Apartment,2,2,1000,29000,Semi-Furnished,5,10,Yes,"Gym,Security,Power Backup",https://www.nobroker.in/property/rent/2bhk-kondapur-hyderabad,NoBroker,+91-9849056789,Budget IT hub housing. Near Kondapur bus stop and multiple tech companies.,Yes
33,Hyderabad,Kukatpally,JNTU Road 2BHK,Apartment,2,2,950,26000,Unfurnished,3,7,No,"Security,Lift,Power Backup",https://www.magicbricks.com/property-for-rent/residential-apartments/kukatpally-hyderabad/prdet761099,MagicBricks,+91-9849067890,Affordable for students and young families. Near JNTU and KPHB Metro.,Yes
34,Hyderabad,Secunderabad,Cantonment 2BHK,Apartment,2,2,1100,30000,Semi-Furnished,4,8,No,"Security,Power Backup,Lift",https://www.99acres.com/residential-property-for-rent-in-secunderabad-hyderabad,99acres,+91-9849078901,Heritage cantonment area. Near Secunderabad Railway Station and Paradise biryani.,Yes
35,Chennai,Anna Nagar,2nd Avenue 2BHK,Apartment,2,2,1050,40000,Semi-Furnished,4,8,Yes,"Gym,Security,Power Backup,Lift",https://www.magicbricks.com/property-for-rent/residential-apartments/anna-nagar-chennai/prdet871110,MagicBricks,+91-9884012345,Premium south Chennai living. Near Anna Nagar Tower Park and Spencer Plaza.,Yes
36,Chennai,Adyar,IIT Road 3BHK,Apartment,3,3,1550,70000,Fully Furnished,6,10,Yes,"Gym,Pool,Security,Generator",https://www.nobroker.in/property/rent/3bhk-adyar-iit-road-chennai,NoBroker,+91-9884023456,Premium area next to IIT Madras. Tree-lined streets, walking to Adyar river.,Yes
37,Chennai,Velachery,Phoenix Mall 2BHK,Apartment,2,2,1000,31000,Semi-Furnished,5,12,Yes,"Gym,Security,Power Backup,Club House",https://www.99acres.com/residential-property-for-rent-in-velachery-chennai,99acres,+91-9884034567,Near Phoenix MarketCity Mall. Good metro connectivity on Green Line.,Yes
38,Chennai,Nungambakkam,Consulate Area 2BHK,Apartment,2,2,1100,50000,Fully Furnished,3,7,No,"Security,Power Backup,Generator",https://www.magicbricks.com/property-for-rent/residential-apartments/nungambakkam-chennai/prdet981121,MagicBricks,+91-9884045678,Premium central Chennai. Near US Consulate, US Consulate, shopping malls.,Yes
39,Chennai,T Nagar,Pondy Bazaar 2BHK,Apartment,2,2,900,40000,Semi-Furnished,4,8,No,"Security,Power Backup,Lift",https://www.nobroker.in/property/rent/2bhk-t-nagar-pondy-bazaar-chennai,NoBroker,+91-9884056789,Commercial heartbeat of Chennai. Steps from Pondy Bazaar and Panagal Park.,Yes
40,Chennai,OMR,IT Corridor 2BHK,Apartment,2,2,1100,27000,Semi-Furnished,6,14,Yes,"Gym,Pool,Security,Power Backup",https://www.99acres.com/residential-property-for-rent-in-omr-chennai,99acres,+91-9884067890,Gated complex on Old Mahabalipuram Road IT corridor. Near Tidel Park.,Yes
41,Pune,Koregaon Park,Lane 6 Premium 2BHK,Apartment,2,2,1100,50000,Fully Furnished,3,7,No,"Security,Power Backup,Generator",https://www.magicbricks.com/property-for-rent/residential-apartments/koregaon-park-pune/prdet1091132,MagicBricks,+91-9822012345,Heart of Koregaon Park. Walking to German Bakery and Osho International Meditation Resort.,Yes
42,Pune,Koregaon Park,3BHK Bungalow Style,Independent House,3,3,2200,85000,Semi-Furnished,1,2,Yes,"Garden,Security,Power Backup",https://www.nobroker.in/property/rent/3bhk-koregaon-park-pune-bungalow,NoBroker,+91-9822023456,Rare independent bungalow in KP. Large garden, extremely quiet lane.,Yes
43,Pune,Baner,IT Hub 2BHK Gated,Apartment,2,2,1050,40000,Semi-Furnished,7,14,Yes,"Gym,Pool,Security,Club House",https://www.99acres.com/residential-property-for-rent-in-baner-pune,99acres,+91-9822034567,Near Baner road IT companies. Balewadi Stadium and Aundh malls in vicinity.,Yes
44,Pune,Kothrud,Paud Road 2BHK,Apartment,2,2,1050,36000,Semi-Furnished,4,8,No,"Security,Power Backup,Lift",https://www.magicbricks.com/property-for-rent/residential-apartments/kothrud-pune/prdet1201143,MagicBricks,+91-9822045678,Educational hub with multiple colleges nearby. Peaceful residential area.,Yes
45,Pune,Viman Nagar,Airport Road 2BHK,Apartment,2,2,1100,40000,Fully Furnished,6,12,Yes,"Gym,Security,Power Backup,Club House",https://www.nobroker.in/property/rent/2bhk-viman-nagar-pune,NoBroker,+91-9822056789,Near Pune International Airport. Cosmopolitan crowd, multiple restaurants.,Yes
46,Pune,Hinjewadi,IT Park Phase 1 1BHK,Apartment,1,1,580,16000,Semi-Furnished,4,10,Yes,"Security,Power Backup,Lift",https://www.99acres.com/residential-property-for-rent-in-hinjewadi-phase1-pune,99acres,+91-9822067890,Walking distance to Infosys and Wipro campus. Affordable for freshers.,Yes
47,Pune,Aundh,DP Road 2BHK Premium,Apartment,2,2,1100,40000,Fully Furnished,5,9,Yes,"Gym,Security,Power Backup,Club House",https://www.magicbricks.com/property-for-rent/residential-apartments/aundh-pune/prdet1311154,MagicBricks,+91-9822078901,Fitness-first neighborhood. Near D-Mart, multiple parks and cycling tracks.,Yes
48,Pune,Hadapsar,Magarpatta City 2BHK,Apartment,2,2,1100,26000,Semi-Furnished,4,12,Yes,"Gym,Pool,Security,Club House,Schools Inside",https://www.nobroker.in/property/rent/2bhk-magarpatta-city-hadapsar-pune,NoBroker,+91-9822089012,Self-sufficient township. Schools, hospital, IT offices all within Magarpatta.,Yes
49,Kolkata,Salt Lake,Sector 3 2BHK IT Area,Apartment,2,2,1100,26000,Semi-Furnished,4,8,Yes,"Gym,Security,Power Backup,Lift",https://www.magicbricks.com/property-for-rent/residential-apartments/salt-lake-sector-3-kolkata/prdet1411165,MagicBricks,+91-9830012345,IT sector proximity. Near Sector V tech hub and City Centre Mall.,Yes
50,Kolkata,New Town,Eco Park Area 3BHK,Apartment,3,3,1500,38000,Semi-Furnished,6,14,Yes,"Gym,Pool,Security,Power Backup",https://www.99acres.com/residential-property-for-rent-in-new-town-kolkata,99acres,+91-9830023456,Smart city project. Near Eco Park and Biswa Bangla Gate. Clean and planned.,Yes
51,Kolkata,Ballygunge,Posh 3BHK,Apartment,3,3,1700,65000,Fully Furnished,5,9,No,"Security,Power Backup,Generator",https://www.magicbricks.com/property-for-rent/residential-apartments/ballygunge-kolkata/prdet1521176,MagicBricks,+91-9830034567,Most posh south Kolkata address. Near Ballygunge lake and cultural institutions.,Yes
52,Kolkata,Park Street,Food Street 2BHK,Apartment,2,2,1000,45000,Fully Furnished,4,8,No,"Security,Power Backup,Lift",https://www.nobroker.in/property/rent/2bhk-park-street-kolkata,NoBroker,+91-9830045678,On iconic Park Street. Walking to Peter Cat, Flurys and all night life.,Yes
53,Kolkata,Alipore,Luxury 3BHK Zoo Area,Apartment,3,3,2000,80000,Fully Furnished,5,10,Yes,"Gym,Security,Power Backup,Concierge",https://www.99acres.com/residential-property-for-rent-in-alipore-kolkata,99acres,+91-9830056789,Most exclusive address in Kolkata. Near Alipore Zoo and South Club.,Yes
54,Kolkata,Jadavpur,University Area 2BHK,Apartment,2,2,950,24000,Semi-Furnished,3,6,No,"Security,Power Backup,Lift",https://www.magicbricks.com/property-for-rent/residential-apartments/jadavpur-kolkata/prdet1631187,MagicBricks,+91-9830067890,Intellectual hub of Kolkata. Near Jadavpur University and 8B bus terminus.,Yes
55,Ahmedabad,Prahlad Nagar,SG Highway 2BHK,Apartment,2,2,1100,32000,Semi-Furnished,7,14,Yes,"Gym,Pool,Security,Club House",https://www.magicbricks.com/property-for-rent/residential-apartments/prahlad-nagar-ahmedabad/prdet1741198,MagicBricks,+91-9824012345,Corporate hub with premium malls. Near Prahlad Nagar Garden and ISKCON temple.,Yes
56,Ahmedabad,Satellite,Jodhpur Cross Road 2BHK,Apartment,2,2,1150,40000,Fully Furnished,6,12,Yes,"Gym,Security,Power Backup,Club House",https://www.nobroker.in/property/rent/2bhk-satellite-ahmedabad,NoBroker,+91-9824023456,Premium upscale area. Near Jodhpur Cross Road market and multiple malls.,Yes
57,Ahmedabad,Bodakdev,IIM Road 3BHK,Apartment,3,3,1600,56000,Fully Furnished,8,15,Yes,"Gym,Pool,Security,Generator,Club House",https://www.99acres.com/residential-property-for-rent-in-bodakdev-ahmedabad,99acres,+91-9824034567,Walk to IIM Ahmedabad. Premium and secure residential complex.,Yes
58,Ahmedabad,Vastrapur,Lake Area 2BHK,Apartment,2,2,1100,32000,Semi-Furnished,5,10,Yes,"Gym,Security,Power Backup,Lift",https://www.magicbricks.com/property-for-rent/residential-apartments/vastrapur-ahmedabad/prdet1851209,MagicBricks,+91-9824045678,Near Vastrapur Lake. Jogging track, greenery and proximity to Applewoods Estate.,Yes
59,Jaipur,Malviya Nagar,IT Hub 2BHK,Apartment,2,2,1050,24000,Semi-Furnished,4,8,Yes,"Gym,Security,Power Backup,Lift",https://www.magicbricks.com/property-for-rent/residential-apartments/malviya-nagar-jaipur/prdet1961220,MagicBricks,+91-9828012345,Pink City IT hub. Near Malviya Industrial Area and City Mall Jaipur.,Yes
60,Jaipur,C-Scheme,Central 2BHK,Apartment,2,2,1100,32000,Fully Furnished,3,7,No,"Security,Power Backup,Generator",https://www.nobroker.in/property/rent/2bhk-c-scheme-jaipur,NoBroker,+91-9828023456,Heart of Jaipur's posh zone. Near Hotel Rambagh Palace and Raj Mandir Cinema.,Yes
61,Jaipur,Vaishali Nagar,Family 3BHK,Apartment,3,3,1450,38000,Semi-Furnished,5,10,Yes,"Gym,Security,Power Backup,Children Play Area",https://www.99acres.com/residential-property-for-rent-in-vaishali-nagar-jaipur,99acres,+91-9828034567,Best residential colony in west Jaipur. Peaceful, good schools nearby.,Yes
62,Jaipur,Mansarovar,Affordable 2BHK Metro,Apartment,2,2,950,20000,Unfurnished,3,7,No,"Security,Lift,Power Backup",https://www.magicbricks.com/property-for-rent/residential-apartments/mansarovar-jaipur/prdet2071231,MagicBricks,+91-9828045678,India's largest residential colony. Near Mansarovar Metro Station.,Yes
63,Lucknow,Gomti Nagar,Vibhuti Khand 2BHK,Apartment,2,2,1100,22000,Semi-Furnished,4,8,Yes,"Gym,Security,Power Backup,Club House",https://www.magicbricks.com/property-for-rent/residential-apartments/gomti-nagar-lucknow/prdet2181242,MagicBricks,+91-9838012345,City's best IT and business hub. Near Phoenix United Mall and Lekhraj Market.,Yes
64,Lucknow,Hazratganj,Heritage Area 2BHK,Apartment,2,2,950,28000,Fully Furnished,3,6,No,"Security,Power Backup,Generator",https://www.nobroker.in/property/rent/2bhk-hazratganj-lucknow,NoBroker,+91-9838023456,Colonial heart of Lucknow. Walking to Hazratganj market and Chief Minister residence area.,Yes
65,Nagpur,Civil Lines,Premium 3BHK,Apartment,3,3,1600,44000,Fully Furnished,4,8,No,"Security,Power Backup,Generator,Garden",https://www.magicbricks.com/property-for-rent/residential-apartments/civil-lines-nagpur/prdet2291253,MagicBricks,+91-9823012345,Best address in Nagpur. Wide roads, bungalows, courts and government offices area.,Yes
66,Nagpur,Dharampeth,Sadar Adjacent 2BHK,Apartment,2,2,1050,20000,Semi-Furnished,3,6,No,"Security,Power Backup,Lift",https://www.nobroker.in/property/rent/2bhk-dharampeth-nagpur,NoBroker,+91-9823023456,Elite colony near Sitabuldi and Central Nagpur. Close to Dharampeth College.,Yes
67,Indore,Vijay Nagar,AB Road 2BHK,Apartment,2,2,1100,22000,Semi-Furnished,5,10,Yes,"Gym,Security,Power Backup,Club House",https://www.magicbricks.com/property-for-rent/residential-apartments/vijay-nagar-indore/prdet2401264,MagicBricks,+91-9826012345,India's cleanest city prime zone. Near C21 Mall and Treasure Island Mall.,Yes
68,Indore,Palasia,City Center 2BHK,Apartment,2,2,1000,26000,Fully Furnished,4,8,No,"Security,Power Backup,Generator",https://www.nobroker.in/property/rent/2bhk-palasia-indore,NoBroker,+91-9826023456,Central Indore posh area. Near Palasia Square and MG Road shopping.,Yes
69,Surat,Athwa,City Center 2BHK,Apartment,2,2,1100,25000,Semi-Furnished,4,8,Yes,"Gym,Security,Power Backup,Lift",https://www.magicbricks.com/property-for-rent/residential-apartments/athwa-surat/prdet2511275,MagicBricks,+91-9824112345,Diamond city's prime location. Near Athwa Gate and VR Surat Mall.,Yes
70,Surat,Vesu,Posh 3BHK,Apartment,3,3,1500,35000,Fully Furnished,6,12,Yes,"Gym,Pool,Security,Club House",https://www.nobroker.in/property/rent/3bhk-vesu-surat,NoBroker,+91-9824134567,Premium residential area. Near Vesu VR Mall and riverfront promenade.,Yes
71,Mumbai,Malad West,Inorbit Mall Area 2BHK,Apartment,2,2,900,35000,Semi-Furnished,5,10,Yes,"Gym,Security,Power Backup,Club House",https://www.magicbricks.com/property-for-rent/residential-apartments/malad-west-mumbai/prdet2621286,MagicBricks,+91-9821156789,Near Inorbit Mall and Malad Railway Station. Good western line connectivity.,Yes
72,Mumbai,Goregaon East,Film City Road 2BHK,Apartment,2,2,950,39000,Semi-Furnished,6,12,Yes,"Gym,Security,Power Backup",https://www.99acres.com/residential-property-for-rent-in-goregaon-east-mumbai,99acres,+91-9821167890,Near Film City and Aarey Colony forest. Goregaon Metro station walking distance.,Yes
73,Bangalore,Jayanagar,4th Block 2BHK,Apartment,2,2,1100,36000,Semi-Furnished,3,7,No,"Security,Power Backup,Lift",https://www.magicbricks.com/property-for-rent/residential-apartments/jayanagar-4th-block-bangalore/prdet2731297,MagicBricks,+91-9880101234,Classic old Bangalore. Tree lined streets, near Jayanagar shopping complex.,Yes
74,Bangalore,Banashankari,Temple Area 2BHK,Apartment,2,2,1050,30000,Unfurnished,3,7,No,"Security,Power Backup,Lift",https://www.nobroker.in/property/rent/2bhk-banashankari-bangalore,NoBroker,+91-9880112345,South Bangalore residential. Near Banashankari Temple and Bannerghatta Road.,Yes
75,Bangalore,JP Nagar,Phase 7 2BHK,Apartment,2,2,1050,34000,Semi-Furnished,4,8,Yes,"Gym,Security,Power Backup,Lift",https://www.99acres.com/residential-property-for-rent-in-jp-nagar-bangalore,99acres,+91-9880123456,South Bangalore premium. Near JP Nagar Metro and Gopalan Mall.,Yes
76,Bangalore,Hebbal,Lake View 2BHK,Apartment,2,2,1100,40000,Semi-Furnished,8,14,Yes,"Gym,Pool,Security,Club House",https://www.magicbricks.com/property-for-rent/residential-apartments/hebbal-bangalore/prdet2841308,MagicBricks,+91-9880134567,Stunning Hebbal Lake view. Near Manyata Tech Park and Bellary Road.,Yes
77,Chennai,Mylapore,Cultural Hub 2BHK,Apartment,2,2,1050,42000,Semi-Furnished,4,7,No,"Security,Power Backup,Generator",https://www.nobroker.in/property/rent/2bhk-mylapore-chennai,NoBroker,+91-9884078901,Cultural capital of Chennai. Near Kapaleeshwarar Temple and Marina Beach.,Yes
78,Chennai,Sholinganallur,IT Belt 2BHK,Apartment,2,2,1100,28000,Semi-Furnished,5,12,Yes,"Gym,Security,Power Backup,Club House",https://www.99acres.com/residential-property-for-rent-in-sholinganallur-chennai,99acres,+91-9884089012,OMR IT belt housing. Near Cognizant and TCS campuses. Affordable for IT freshers.,Yes
79,Chennai,Porur,Suburban 2BHK,Apartment,2,2,1000,28000,Semi-Furnished,4,8,Yes,"Security,Power Backup,Lift",https://www.magicbricks.com/property-for-rent/residential-apartments/porur-chennai/prdet2951319,MagicBricks,+91-9884090123,Western Chennai IT suburb. Near L&T Infotech and Chennai Bypass Road.,Yes
80,Hyderabad,Miyapur,Metro End 2BHK,Apartment,2,2,1000,24000,Unfurnished,3,8,No,"Security,Lift,Power Backup",https://www.nobroker.in/property/rent/2bhk-miyapur-metro-hyderabad,NoBroker,+91-9849089012,Near Miyapur Metro Station terminus. Affordable western Hyderabad. Growing area.,Yes
81,Hyderabad,LB Nagar,South 2BHK Affordable,Apartment,2,2,950,20000,Unfurnished,2,6,No,"Security,Lift",https://www.99acres.com/residential-property-for-rent-in-lb-nagar-hyderabad,99acres,+91-9849090123,Most affordable metro-connected area in Hyderabad. Near LB Nagar Metro Station.,Yes
82,Kolkata,Behala,South 2BHK Budget,Apartment,2,2,1000,20000,Unfurnished,2,5,No,"Security,Power Backup",https://www.magicbricks.com/property-for-rent/residential-apartments/behala-kolkata/prdet3061330,MagicBricks,+91-9830078901,South Kolkata affordable. Near Behala Chowrasta and Tollygunge Metro.,Yes
83,Kolkata,Rajarhat,New Town Adjacent 2BHK,Apartment,2,2,1050,20000,Semi-Furnished,4,10,Yes,"Gym,Security,Power Backup",https://www.nobroker.in/property/rent/2bhk-rajarhat-kolkata,NoBroker,+91-9830089012,Emerging IT suburb. Near Unitech IT Park and Rajarhat New Town.,Yes
84,Pune,Wakad,Hinjewadi Link 2BHK,Apartment,2,2,1000,32000,Semi-Furnished,5,12,Yes,"Gym,Security,Power Backup,Club House",https://www.99acres.com/residential-property-for-rent-in-wakad-pune,99acres,+91-9822090123,Rapidly developing suburb. Near Wakad Chowk and Hinjewadi Phase 3.,Yes
85,Pune,Shivajinagar,FC Road 2BHK,Apartment,2,2,1050,40000,Fully Furnished,3,7,No,"Security,Power Backup,Generator",https://www.magicbricks.com/property-for-rent/residential-apartments/shivajinagar-pune/prdet3171341,MagicBricks,+91-9822101234,Walking to Ferguson College Road. Near Pune Railway Station and law college area.,Yes
